802 2684
2 456 78
426 32 608
788 616 902
395 739 107
615 739 472
85 46 724
740 376 339
366 230 837
602 420 778
156 647 137
537 626 778
334 458 783
778 588 527
570 676 569
192 595 481
458 374 493
297 250 639
525 152 96
194 523 505
357 648 540
387 326 567
746 249 994
273 252 823
618 434 366
449 700 356
258 45 986
382 470 613
352 50 813
126 113 242
606 335 905
39 750 209
243 506 896
667 180 788
87 62 96
600 771 43
184 418 705
20 427 280
91 438 184
82 593 954
142 370 365
683 776 174
146 586 774
458 289 588
310 256 306
107 607 311
15 702 532
21 56 571
536 329 724
681 135 28
204 177 718
43 701 669
128 632 603
479 612 444
592 799 584
250 574 646
436 359 912
300 96 315
79 778 587
388 227 663
149 662 608
251 136 583
212 375 433
611 648 34
244 371 487
132 656 85
705 618 836
626 608 742
444 196 48
648 782 568
718 194 643
454 753 931
295 682 633
426 508 371
559 494 610
365 29 154
414 238 41
539 128 901
396 207 321
259 607 588
370 248 61
650 692 497
503 412 343
654 425 710
52 792 408
168 286 384
193 349 39
260 745 742
472 501 929
720 733 155
213 68 998
220 461 507
499 87 924
675 148 479
703 481 637
198 18 859
114 161 721
48 239 482
34 725 657
682 518 449
375 250 113
12 414 365
394 384 694
482 581 880
350 209 83
751 151 281
408 422 826
794 249 712
252 653 654
749 118 589
673 74 70
735 59 79
86 408 360
400 116 647
450 620 187
138 143 615
742 377 852
719 354 797
298 372 360
427 468 684
14 354 872
449 321 295
321 293 401
222 198 234
776 574 610
289 785 36
149 15 940
486 668 681
445 87 511
564 781 119
124 801 254
659 64 864
375 677 616
131 205 597
783 562 170
364 625 166
72 275 227
441 37 398
79 126 349
770 332 895
377 464 515
259 266 908
539 305 857
176 440 547
722 691 653
262 380 643
778 300 169
58 467 287
131 351 500
277 151 927
255 607 636
552 230 118
603 757 970
136 36 59
509 695 940
694 598 287
55 193 121
32 751 841
343 290 299
244 585 351
345 37 125
430 351 60
173 338 391
582 542 929
218 656 758
605 752 619
5 749 597
671 352 78
659 512 776
497 261 138
668 691 461
389 383 621
85 153 380
349 657 485
765 711 257
204 234 136
688 411 123
424 782 872
243 84 531
160 499 438
663 590 769
733 146 404
639 299 16
208 240 227
451 99 99
768 614 141
564 451 433
196 364 451
549 524 45
381 290 895
570 465 75
731 218 934
782 80 616
362 434 932
668 614 247
176 335 131
272 281 895
616 303 630
145 32 901
236 180 92
201 329 857
533 18 922
670 745 233
562 719 566
612 680 294
552 675 102
172 753 423
245 32 449
596 189 84
77 579 179
598 391 558
705 320 135
553 207 137
506 713 945
409 314 800
490 40 96
800 359 816
337 217 549
54 481 969
287 445 918
194 638 839
74 509 110
601 545 116
759 650 296
266 681 770
409 484 373
688 457 378
715 501 288
746 638 32
381 193 979
555 690 767
526 573 97
183 294 679
674 277 126
80 359 581
347 279 719
498 38 862
661 472 571
556 307 260
782 38 98
240 784 421
405 605 885
77 39 922
30 101 173
702 489 712
372 294 705
477 286 295
81 587 355
740 631 81
144 532 97
350 25 73
25 613 821
294 355 347
578 266 410
548 425 749
139 532 104
669 100 785
562 371 667
588 337 528
102 20 492
361 227 412
750 451 742
723 193 578
98 798 456
419 747 552
327 285 708
291 599 946
776 268 830
192 753 164
665 298 635
780 154 829
418 751 897
459 113 321
379 573 700
157 249 350
626 649 372
433 601 504
782 701 746
133 562 295
270 24 234
384 392 192
95 140 277
318 540 301
425 32 591
561 709 531
42 370 70
392 705 835
444 620 866
463 55 378
405 771 580
568 635 932
471 15 254
352 420 861
457 535 359
152 197 653
216 565 52
527 629 161
442 27 793
799 549 147
175 197 656
227 656 710
704 469 712
757 692 898
473 414 962
588 380 640
145 623 371
230 795 549
444 695 38
756 237 113
82 220 331
241 547 458
638 730 435
428 535 13
99 56 381
429 308 262
128 180 26
479 746 848
596 625 456
750 724 518
308 292 821
629 558 263
585 238 513
132 20 440
750 674 395
426 308 269
320 547 807
126 738 404
317 216 504
753 210 148
405 128 405
373 500 362
333 427 181
577 203 226
379 56 572
415 509 420
601 360 116
713 527 659
414 239 956
138 731 675
221 15 140
713 623 925
497 265 552
223 247 438
154 352 46
679 630 73
775 175 800
195 468 687
274 802 830
280 87 356
142 663 509
797 166 200
248 237 656
687 365 703
654 767 705
342 244 48
663 427 252
191 769 9
774 522 450
381 556 793
192 506 337
218 633 400
617 421 496
65 3 947
500 420 828
121 117 157
325 41 898
596 140 778
88 33 100
35 301 768
737 665 497
302 362 176
326 648 692
237 648 549
790 100 844
322 710 744
84 47 103
629 373 297
643 294 889
88 40 343
86 576 426
363 620 357
293 311 340
729 421 983
506 630 422
716 777 707
224 549 802
461 333 848
148 687 577
374 172 455
561 154 729
193 664 793
492 710 359
30 38 332
351 740 280
645 228 886
351 537 912
473 257 989
407 99 222
574 185 875
460 796 812
577 370 595
293 469 493
388 484 590
167 200 678
480 725 700
326 452 970
433 740 176
543 663 580
202 139 303
520 246 797
777 680 583
61 697 126
696 545 478
607 680 461
558 601 402
301 759 472
70 246 688
231 255 840
723 208 848
713 429 691
388 64 207
729 721 647
425 305 959
252 681 416
483 142 100
213 481 904
192 90 789
434 477 107
519 254 62
114 681 325
495 356 761
393 52 737
758 681 383
79 233 803
498 85 39
701 181 230
131 295 411
542 698 486
708 127 876
420 323 251
138 74 770
177 791 347
255 395 872
26 779 111
350 82 745
172 435 501
600 628 448
682 46 733
500 281 228
739 592 966
110 193 447
51 641 614
16 53 815
532 595 297
317 297 104
355 179 421
259 193 591
406 113 525
553 414 898
781 251 671
142 518 474
632 435 568
99 297 74
81 309 148
223 389 81
744 90 38
642 716 399
434 517 131
86 280 450
226 318 933
329 718 531
478 299 325
692 127 256
760 776 119
139 792 327
721 632 230
777 701 86
740 351 501
688 279 580
538 598 361
318 525 960
208 299 519
601 350 369
572 184 744
655 697 274
293 709 678
664 394 327
5 271 475
251 141 912
555 258 885
789 557 445
244 388 660
704 241 961
719 706 787
352 798 25
511 225 975
408 17 159
432 701 285
684 781 577
619 43 878
405 664 595
245 482 575
31 771 565
242 128 362
38 185 520
127 249 848
365 666 336
418 570 945
454 258 14
70 362 76
487 134 229
484 399 382
448 171 208
757 68 605
706 55 230
592 51 37
407 693 49
307 541 902
304 69 671
24 327 893
332 463 745
670 567 659
431 700 665
100 139 478
52 617 824
291 483 563
531 480 990
175 373 492
515 477 16
717 423 30
142 294 752
781 478 587
685 543 938
795 319 965
154 344 734
687 719 237
622 379 152
430 779 973
142 267 404
566 685 231
703 388 944
406 488 938
740 557 865
592 333 740
746 345 166
124 627 37
207 176 40
619 99 357
30 763 144
398 673 896
401 79 42
769 467 898
19 234 528
768 400 492
409 245 647
339 291 851
668 142 673
462 407 443
797 551 603
15 387 842
591 464 905
735 306 827
78 788 761
782 229 351
30 211 387
410 786 765
112 490 729
525 114 282
497 452 699
668 86 409
456 327 289
206 801 812
135 754 861
627 440 665
104 622 809
222 186 229
501 16 872
325 165 164
138 60 837
282 432 118
233 264 448
515 341 626
24 244 734
299 748 858
680 211 798
343 378 668
527 285 490
607 566 438
355 415 463
438 396 981
92 475 392
701 704 607
661 217 592
723 129 827
67 170 607
278 388 707
248 131 807
356 298 875
722 424 97
262 345 91
485 709 599
35 584 795
633 51 359
352 629 675
95 252 892
40 368 82
778 383 125
595 443 61
600 781 937
469 191 107
555 441 940
232 485 307
320 162 925
186 55 603
477 265 341
315 371 492
45 8 533
797 52 857
256 95 118
270 548 82
399 218 98
720 346 88
761 734 93
448 793 927
512 381 393
556 506 287
72 33 587
441 637 756
649 470 292
212 643 200
779 395 13
433 773 92
467 634 462
352 595 157
577 793 495
680 279 828
271 466 62
168 259 644
519 784 961
88 472 835
97 750 38
143 781 190
726 83 518
591 784 673
240 366 408
180 311 617
686 176 276
738 200 473
233 387 292
798 84 774
561 62 399
784 639 932
122 687 824
20 287 431
695 528 144
169 310 685
191 753 779
107 227 966
630 748 339
480 18 240
35 212 563
769 488 492
703 604 539
345 118 108
801 598 954
571 434 29
245 510 532
196 264 152
260 115 311
528 776 208
683 377 82
182 497 30
467 252 427
55 462 643
324 723 105
665 11 427
312 669 575
485 158 338
677 380 955
669 691 243
224 583 133
730 82 922
430 376 934
458 394 744
678 317 295
403 476 627
494 604 347
126 333 743
631 200 442
122 626 351
287 281 570
396 61 621
709 485 437
559 429 658
287 81 739
529 480 461
429 51 37
783 67 777
127 591 965
579 419 848
400 26 162
450 789 575
130 697 125
623 23 390
664 444 407
459 257 385
378 737 225
778 424 120
359 257 113
171 721 326
338 210 164
316 673 376
753 729 42
234 397 632
301 550 607
426 561 184
234 261 813
79 746 24
167 214 753
14 186 779
404 110 992
791 184 407
234 736 947
494 253 220
443 439 858
182 269 5
752 219 61
740 207 300
540 412 349
332 333 153
125 130 717
340 416 699
757 159 330
327 787 345
427 764 489
306 32 109
421 552 765
420 683 225
790 223 258
311 286 895
599 512 537
90 749 900
15 25 532
546 40 760
33 364 575
292 342 614
75 346 60
112 545 276
166 144 691
496 416 50
14 34 762
146 609 770
613 617 28
186 728 645
603 789 52
656 458 460
201 789 860
680 494 154
795 628 866
236 534 735
658 90 483
427 526 609
498 251 398
237 16 399
463 121 545
323 320 736
402 185 156
120 3 253
247 381 921
773 667 985
457 169 144
656 424 65
258 758 449
77 745 314
192 702 872
393 8 900
716 473 501
637 544 774
431 228 82
107 522 795
739 404 716
267 645 254
368 20 23
138 632 4
212 203 868
615 344 368
739 96 781
217 633 731
721 456 34
590 725 625
557 57 475
627 343 249
384 499 832
256 304 190
80 569 101
757 732 355
719 229 959
160 225 105
451 145 336
196 793 764
564 168 230
410 473 199
714 306 349
622 581 531
601 248 150
590 240 944
770 288 626
476 700 418
722 533 977
39 258 876
179 425 725
441 796 446
332 73 602
191 155 217
741 345 582
544 692 185
37 626 419
561 792 55
300 54 266
120 463 901
756 350 175
410 482 654
290 181 478
211 196 1
308 551 75
546 90 563
784 327 152
662 562 131
274 548 242
9 202 378
206 630 422
633 580 700
702 282 22
177 264 826
679 227 706
175 159 642
166 243 193
441 260 102
339 207 819
387 674 696
302 413 472
457 322 251
632 668 994
237 422 236
202 420 523
697 74 153
138 746 237
711 543 36
780 500 205
663 797 430
370 179 643
513 659 625
737 136 23
179 26 567
183 254 297
44 302 728
696 274 529
237 63 8
22 258 425
256 232 90
480 3 928
690 208 802
184 220 619
599 246 754
634 188 879
455 364 957
11 617 212
240 651 142
767 756 883
109 383 340
541 469 13
339 128 268
232 416 519
645 202 426
636 194 383
408 567 246
406 447 49
434 46 371
586 86 510
174 27 158
750 647 190
257 465 309
649 240 966
786 119 279
295 357 953
408 61 256
480 258 355
664 142 411
764 679 488
174 753 75
204 350 273
717 479 817
187 377 914
210 520 17
51 217 812
631 120 56
237 364 673
455 34 180
101 646 883
264 253 554
774 354 746
295 398 587
422 286 477
45 387 15
706 347 87
349 445 895
359 630 177
301 270 569
637 398 576
790 576 460
706 485 820
601 315 757
126 52 252
595 326 471
211 423 449
109 558 901
527 7 847
741 121 748
746 31 295
265 489 548
437 656 2
286 585 88
736 398 991
38 540 338
181 304 552
766 442 996
438 625 320
142 638 298
194 544 933
75 257 986
618 393 666
729 110 983
414 459 490
600 743 6
99 534 808
727 359 840
498 565 914
290 227 110
243 51 783
277 93 102
107 698 582
309 792 478
190 699 532
798 403 714
445 162 591
329 611 882
47 734 686
585 229 972
205 699 787
214 412 704
677 445 959
599 606 127
141 793 577
204 246 128
732 223 434
694 786 498
148 287 464
679 712 405
239 438 970
319 21 376
20 336 557
401 664 353
190 377 592
593 511 181
286 196 336
669 774 212
757 654 155
75 394 477
646 722 314
167 798 539
168 704 817
14 103 597
544 471 371
309 714 510
723 182 792
123 236 705
523 430 503
307 259 679
205 750 621
134 302 451
495 551 84
291 513 291
99 348 319
760 44 227
250 178 491
444 560 304
145 147 94
502 398 340
726 669 488
784 368 260
576 136 228
306 28 681
570 32 743
395 434 903
487 669 379
739 734 779
38 316 535
715 576 893
780 596 614
208 681 383
683 734 256
273 400 766
711 437 492
267 345 349
758 642 665
451 290 519
295 151 531
257 504 589
286 124 644
371 642 962
262 490 334
276 74 15
62 440 462
368 728 69
595 798 406
666 343 975
710 413 784
463 261 594
665 395 547
515 618 528
472 494 108
618 222 922
527 634 39
56 402 83
149 440 818
239 340 19
55 39 659
81 48 571
5 214 338
402 165 269
737 735 25
235 605 162
94 691 145
138 134 130
82 197 993
89 199 628
692 480 589
255 533 58
685 220 497
101 156 862
533 65 999
321 516 763
220 518 330
125 689 259
597 545 705
135 631 741
8 455 170
652 120 202
66 691 957
174 483 56
45 87 385
583 132 268
766 127 142
155 286 551
472 577 927
135 277 220
631 573 765
792 647 642
504 636 446
209 32 777
413 433 686
452 185 856
82 276 578
98 489 612
462 12 202
147 223 168
629 12 297
446 580 806
777 798 610
612 654 118
641 25 456
321 168 197
9 672 780
796 521 816
747 731 173
768 710 215
239 518 765
267 344 183
617 693 25
118 527 440
4 475 228
86 629 262
90 487 93
238 148 600
86 169 160
73 156 830
357 156 493
517 335 749
566 673 315
465 319 956
231 57 981
293 325 259
141 509 211
757 591 743
474 154 724
422 698 817
387 497 656
187 754 500
746 731 427
635 140 314
54 566 14
318 122 427
26 661 273
207 421 709
431 131 843
45 420 833
510 542 482
30 549 656
58 11 361
790 744 285
670 562 222
23 667 13
434 444 657
614 609 110
631 547 303
278 156 5
736 434 908
478 724 83
87 164 257
451 136 216
783 541 530
67 99 322
688 780 722
680 32 247
753 79 124
614 84 16
671 766 19
367 95 85
750 121 89
438 206 907
168 185 702
569 724 30
468 490 41
237 286 251
87 476 865
414 676 667
632 445 381
735 240 444
503 57 725
43 498 610
801 77 51
733 126 43
121 3 877
160 728 509
391 726 790
781 20 400
556 727 122
255 309 904
754 215 850
407 328 684
196 443 796
402 75 957
559 189 712
269 183 227
778 649 329
621 136 194
773 299 65
259 79 450
553 519 791
713 71 641
386 643 261
414 786 296
556 672 785
321 449 262
510 57 606
275 241 31
582 713 437
38 398 784
608 170 923
361 569 543
510 716 464
467 637 969
246 315 359
606 523 662
560 9 949
630 649 141
46 212 652
533 367 101
785 605 994
83 729 169
57 181 514
83 111 738
36 111 75
692 662 28
534 698 267
465 323 364
718 416 764
711 377 244
783 18 889
448 436 125
429 102 805
383 280 516
311 549 268
369 33 693
27 595 58
316 71 437
224 206 915
766 431 785
204 276 693
128 725 117
739 749 475
240 718 208
320 262 460
546 681 882
535 97 902
285 4 998
432 695 263
278 312 661
784 36 9
667 752 150
141 695 379
412 348 238
725 653 74
431 327 742
175 360 504
142 547 465
689 621 931
652 92 562
374 429 143
345 281 55
325 113 389
36 27 566
601 477 457
78 465 789
740 112 271
781 307 200
259 232 162
552 772 862
10 777 631
226 695 664
566 699 286
552 95 566
594 318 220
362 735 466
753 156 982
467 122 653
516 527 331
699 483 255
494 251 144
458 701 888
359 74 929
341 615 90
475 361 231
437 223 778
118 692 255
656 218 305
671 472 331
506 789 147
762 9 756
735 408 964
247 318 96
521 315 912
792 697 22
238 80 397
535 322 549
756 226 188
111 647 945
495 32 547
278 186 798
733 267 139
541 109 509
354 775 789
218 470 516
581 53 739
566 439 108
434 290 895
347 126 858
510 422 187
752 59 820
441 658 363
263 151 955
433 344 400
189 713 709
192 338 293
303 111 227
614 280 448
38 442 999
336 609 798
722 492 730
311 538 486
154 271 287
733 177 520
433 122 716
34 728 879
266 243 393
1 317 913
631 700 2
570 126 862
135 161 222
275 615 298
347 354 691
720 120 385
337 777 196
323 472 153
581 110 688
682 501 34
296 634 151
785 106 296
125 574 924
245 628 154
34 730 925
511 221 358
85 192 63
471 87 777
167 437 419
519 467 636
687 237 977
549 134 171
130 190 526
571 741 403
483 405 215
351 678 953
489 664 755
172 788 855
246 705 129
369 688 880
417 598 369
184 686 708
691 7 107
453 275 671
59 567 452
347 404 630
608 45 898
449 390 225
285 43 353
209 661 42
500 611 138
189 33 252
604 787 97
250 445 236
521 5 341
90 28 910
363 802 166
493 431 645
208 185 774
652 129 252
576 449 367
110 575 457
361 467 284
93 793 207
113 329 380
188 749 680
114 710 154
250 3 278
405 672 38
598 708 304
316 787 947
311 580 593
297 219 96
47 339 234
793 754 861
454 178 142
164 542 265
611 15 215
161 285 852
718 28 553
621 795 682
475 712 899
236 50 380
766 610 7
536 711 921
151 184 657
155 392 206
361 166 648
674 708 227
378 182 270
655 468 356
128 416 44
161 175 462
579 383 691
155 386 870
663 793 816
101 247 388
242 405 995
583 785 632
89 669 91
592 536 203
421 210 742
334 492 439
576 630 962
49 353 284
723 536 785
385 386 409
590 58 530
369 20 594
492 538 435
432 580 491
369 537 188
91 252 86
289 800 787
432 481 365
345 687 167
370 158 796
126 110 298
513 708 117
743 170 132
97 370 823
521 513 383
366 220 343
796 15 932
232 610 160
26 457 998
341 307 236
682 268 380
586 465 794
146 134 93
457 529 928
42 394 628
391 500 728
315 265 293
364 202 728
625 59 662
335 333 411
733 229 556
5 456 269
132 646 151
275 257 491
9 751 522
658 431 344
789 298 666
627 350 731
705 684 346
335 156 257
758 223 949
761 630 140
333 735 304
351 128 654
227 17 257
779 319 968
557 397 760
116 16 324
130 474 342
377 388 415
457 710 504
91 481 829
206 656 576
719 515 496
562 176 415
554 72 462
382 633 377
256 274 795
430 522 222
298 484 573
550 151 676
575 111 527
289 207 401
266 427 121
1 418 436
446 712 842
767 749 15
568 385 463
567 611 70
677 569 861
614 344 614
488 647 510
136 418 935
483 284 33
763 245 830
14 147 364
752 1 466
146 631 382
787 516 939
494 412 900
435 383 154
678 43 956
707 529 325
221 155 424
519 85 309
772 431 499
677 592 373
418 529 536
303 590 722
249 322 207
212 278 311
80 459 985
687 275 370
787 670 176
405 271 751
75 264 742
218 651 520
222 316 758
452 181 576
498 692 789
58 357 936
505 567 811
29 69 432
430 552 814
534 196 819
354 601 108
706 591 831
539 744 855
379 76 312
226 269 881
66 34 833
418 243 624
725 283 227
8 722 540
750 389 740
680 162 207
461 638 40
586 744 342
700 713 882
241 379 850
542 564 577
318 426 514
647 429 449
129 217 308
609 469 622
415 37 857
250 385 885
410 536 470
613 94 802
598 782 83
295 49 492
632 303 315
414 376 219
680 749 501
193 185 253
165 221 817
47 465 60
736 125 498
649 506 433
625 244 180
741 305 724
276 387 109
75 317 423
790 372 831
708 490 659
438 779 5
21 308 11
202 499 212
673 417 525
449 682 577
763 140 969
53 508 175
191 730 39
82 323 242
462 337 567
478 57 438
368 108 206
491 67 421
103 800 1000
779 724 480
673 573 566
607 444 134
317 230 261
264 293 692
658 774 672
788 763 557
378 756 325
510 696 651
576 274 307
497 523 968
74 184 631
739 134 492
755 436 450
679 435 457
254 543 485
188 510 95
305 138 533
113 332 554
5 763 522
6 73 938
415 279 129
752 219 105
339 437 689
543 674 872
454 714 606
571 572 124
378 139 261
516 585 96
486 503 447
750 213 448
619 598 790
260 199 20
180 445 287
130 540 335
383 598 760
724 780 534
627 527 594
237 651 343
205 802 398
482 136 50
11 132 658
128 519 978
75 544 530
63 319 646
142 549 243
459 151 439
70 284 58
263 408 585
277 628 224
254 732 164
659 30 770
395 7 843
235 318 254
511 452 4
126 493 380
672 684 271
745 411 806
192 292 913
46 273 543
459 379 634
668 772 302
566 614 459
801 569 158
271 156 857
164 104 870
101 406 922
745 214 832
111 789 614
316 167 245
430 6 693
608 415 340
260 746 872
326 262 42
109 296 702
367 476 928
256 492 295
248 761 765
690 543 152
101 580 386
747 107 502
126 506 477
691 141 654
299 354 582
76 660 884
787 236 714
691 106 983
793 416 406
707 453 525
229 429 40
167 597 696
93 339 636
306 192 797
377 720 412
383 769 950
447 74 244
11 401 326
270 106 767
122 380 607
60 491 859
121 207 827
96 108 175
142 480 898
548 233 166
150 396 666
193 698 690
573 469 57
785 436 864
78 440 668
586 145 346
16 684 544
683 760 605
559 218 231
213 334 22
89 212 506
357 636 852
537 660 233
202 217 728
681 715 922
500 510 153
632 801 951
104 792 642
335 1 447
143 76 859
148 630 954
442 62 629
168 758 564
68 646 831
688 130 819
602 130 386
693 563 11
409 772 557
450 3 459
226 70 122
275 96 658
726 683 959
60 394 40
721 626 634
422 229 386
262 168 962
11 263 315
298 50 478
423 62 960
66 422 211
294 155 410
311 563 108
62 424 721
204 675 136
66 506 535
74 335 67
335 470 498
125 17 161
307 534 741
574 73 927
147 153 54
569 496 458
90 453 717
266 270 893
758 460 98
142 274 75
103 411 453
322 180 481
587 239 922
507 745 185
640 3 471
212 794 608
547 460 837
275 259 230
2 267 282
726 48 264
802 311 654
526 239 158
607 286 99
388 433 289
461 198 434
286 288 239
198 323 813
524 207 40
745 591 874
630 14 299
734 170 417
492 273 418
437 323 844
273 156 397
519 729 644
121 640 951
558 23 439
334 285 54
565 461 978
538 478 72
607 665 792
619 532 38
167 560 493
744 656 217
433 22 647
232 323 432
37 210 372
318 261 743
634 305 670
571 697 845
262 653 763
85 68 249
222 616 567
412 763 101
141 188 579
549 540 127
158 8 707
253 342 848
796 284 532
790 523 386
529 111 755
25 637 130
757 16 357
252 99 833
163 660 592
781 191 893
337 40 98
152 794 71
517 423 419
430 671 870
176 128 95
396 733 406
724 441 391
53 774 338
456 372 874
270 697 213
609 205 992
179 515 200
123 607 206
802 731 736
447 409 337
719 171 61
749 146 548
643 630 633
695 465 246
758 372 217
334 397 551
219 292 483
408 734 521
484 125 355
491 207 101
532 214 278
197 134 942
99 113 891
224 288 828
45 314 630
754 691 315
558 538 283
109 169 20
94 489 386
503 640 234
495 621 314
249 491 974
494 282 368
586 706 489
673 740 529
632 618 703
550 282 269
538 275 218
108 692 130
605 393 729
747 435 762
506 395 210
448 215 690
466 455 507
397 625 311
112 453 493
524 36 396
269 71 673
16 714 554
177 771 626
137 485 681
465 697 180
515 757 867
385 247 336
612 16 513
118 306 596
466 789 42
299 87 449
518 525 135
253 589 375
736 390 68
706 182 836
